Neighbourhood Name,MCI,number_of_crime,Hood_ID,population_density,Unemployment rate,Population,Average age,household_income
Danforth East York,Assault,46.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Danforth East York,Auto Theft,12.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Danforth East York,Break and Enter,44.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Danforth East York,Robbery,5.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Danforth East York,Theft Over,4.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Danforth East York,bicycle theft,22.0,59.0,7881.0,6.9,17555.0,41.00441469666762,334260.0
Don Valley Village,Assault,134.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Don Valley Village,Auto Theft,28.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Don Valley Village,Break and Enter,64.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Don Valley Village,Robbery,20.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Don Valley Village,Theft Over,8.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Don Valley Village,bicycle theft,2.0,47.0,6441.0,9.6,27715.0,41.747699801551505,414411.0
Dorset Park,Assault,194.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dorset Park,Auto Theft,43.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dorset Park,Break and Enter,69.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dorset Park,Robbery,50.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dorset Park,Theft Over,12.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dorset Park,bicycle theft,4.0,126.0,4146.0,9.7,25790.0,40.87689026754556,251476.0
Dovercourt-Wallace Emerson-Junction,Assault,251.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Dovercourt-Wallace Emerson-Junction,Auto Theft,29.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Dovercourt-Wallace Emerson-Junction,Break and Enter,80.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Dovercourt-Wallace Emerson-Junction,Robbery,42.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Dovercourt-Wallace Emerson-Junction,Theft Over,11.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Dovercourt-Wallace Emerson-Junction,bicycle theft,107.0,93.0,9819.0,7.2,37240.0,40.6266111707841,594477.0
Downsview-Roding-CFB,Assault,379.0,26.0,2337.0,7.9,35895.0,40.915656776709845,562794.0
