Neighbourhood Name,MCI,number_of_crime
Mount Dennis,Robbery,33
Mount Dennis,bicycle theft,3
Mount Olive-Silverstone-Jamestown,Assault,267
Mount Olive-Silverstone-Jamestown,Auto Theft,43
Mount Olive-Silverstone-Jamestown,Break and Enter,34
Mount Olive-Silverstone-Jamestown,Robbery,102
Mount Olive-Silverstone-Jamestown,Theft Over,3
Mount Olive-Silverstone-Jamestown,bicycle theft,10
Mount Olive-Silverstone-Jamestown,homicide,1
Mount Pleasant East,Assault,23
Mount Pleasant East,Auto Theft,9
Mount Pleasant East,Break and Enter,16
Mount Pleasant East,Robbery,3
Mount Pleasant East,Theft Over,1
Mount Pleasant East,bicycle theft,20
Mount Pleasant West,Assault,109
Mount Pleasant West,Auto Theft,4
Mount Pleasant West,Break and Enter,40
Mount Pleasant West,Robbery,10
Mount Pleasant West,Theft Over,6
Mount Pleasant West,bicycle theft,36
Mount Pleasant West,homicide,1
New Toronto,Assault,100
New Toronto,Auto Theft,10
New Toronto,Break and Enter,41
New Toronto,Robbery,20
New Toronto,Theft Over,6
New Toronto,bicycle theft,6
New Toronto,homicide,1
Newtonbrook East,Assault,79
Newtonbrook East,Auto Theft,4
Newtonbrook East,Break and Enter,41
Newtonbrook East,Robbery,9
Newtonbrook East,Theft Over,4
Newtonbrook East,bicycle theft,6
Newtonbrook East,homicide,1
Newtonbrook West,Assault,136
Newtonbrook West,Auto Theft,50
Newtonbrook West,Break and Enter,54
Newtonbrook West,Robbery,14
Newtonbrook West,Theft Over,8
Newtonbrook West,bicycle theft,30
Niagara,Assault,250
Niagara,Auto Theft,25
Niagara,Break and Enter,69
Niagara,Robbery,16
Niagara,Theft Over,18
Niagara,bicycle theft,124
Niagara,homicide,1
North Riverdale,Assault,53
North Riverdale,Auto Theft,6
North Riverdale,Break and Enter,41
North Riverdale,Robbery,34
North Riverdale,Theft Over,4
North Riverdale,bicycle theft,30
North Riverdale,homicide,1
North St. James Town,Assault,139
North St. James Town,Auto Theft,16
North St. James Town,Break and Enter,54
North St. James Town,Robbery,22
North St. James Town,Theft Over,9
North St. James Town,bicycle theft,61
O'Connor-Parkview,Assault,136
O'Connor-Parkview,Auto Theft,7
O'Connor-Parkview,Break and Enter,34
O'Connor-Parkview,Robbery,30
O'Connor-Parkview,Theft Over,6
O'Connor-Parkview,bicycle theft,7
Oakridge,Assault,138
Oakridge,Auto Theft,11
Oakridge,Break and Enter,57
Oakridge,Robbery,29
Oakridge,Theft Over,10
Oakridge,bicycle theft,4
Oakwood Village,Assault,132
Oakwood Village,Auto Theft,24
Oakwood Village,Break and Enter,22
Oakwood Village,Robbery,26
Oakwood Village,Theft Over,1
Oakwood Village,bicycle theft,18
Old East York,Assault,37
Old East York,Auto Theft,6
Old East York,Break and Enter,25
Old East York,Robbery,6
Old East York,Theft Over,2
Old East York,bicycle theft,1
Old East York,homicide,1
Palmerston-Little Italy,Assault,70
Palmerston-Little Italy,Auto Theft,12
Palmerston-Little Italy,Break and Enter,40
Palmerston-Little Italy,Robbery,37
Palmerston-Little Italy,Theft Over,8
Palmerston-Little Italy,bicycle theft,55
Parkwoods-Donalda,Assault,179
Parkwoods-Donalda,Auto Theft,26
Parkwoods-Donalda,Break and Enter,45
Parkwoods-Donalda,Robbery,32
Parkwoods-Donalda,Theft Over,4
Parkwoods-Donalda,bicycle theft,7
Pelmo Park-Humberlea,Assault,61
Pelmo Park-Humberlea,Auto Theft,24
Pelmo Park-Humberlea,Break and Enter,24
Pelmo Park-Humberlea,Robbery,12
Pelmo Park-Humberlea,Theft Over,4
Pelmo Park-Humberlea,bicycle theft,1
Pelmo Park-Humberlea,homicide,1
Playter Estates-Danforth,Assault,82
Playter Estates-Danforth,Auto Theft,6
Playter Estates-Danforth,Break and Enter,25
Playter Estates-Danforth,Robbery,12
Playter Estates-Danforth,Theft Over,3
Playter Estates-Danforth,bicycle theft,19
Pleasant View,Assault,56
Pleasant View,Auto Theft,8
Pleasant View,Break and Enter,32
Pleasant View,Robbery,13
Pleasant View,Theft Over,2
Pleasant View,bicycle theft,2
Princess-Rosethorn,Assault,31
Princess-Rosethorn,Auto Theft,24
Princess-Rosethorn,Break and Enter,33
Princess-Rosethorn,Robbery,30
Princess-Rosethorn,Theft Over,3
Princess-Rosethorn,bicycle theft,3
Princess-Rosethorn,homicide,1
Regent Park,Assault,98
Regent Park,Auto Theft,4
Regent Park,Break and Enter,26
Regent Park,Robbery,12
Regent Park,Theft Over,2
Regent Park,bicycle theft,37
Regent Park,homicide,1
Rexdale-Kipling,Assault,80
Rexdale-Kipling,Auto Theft,22
Rexdale-Kipling,Break and Enter,16
Rexdale-Kipling,Robbery,17
Rexdale-Kipling,bicycle theft,3
Rockcliffe-Smythe,Assault,147
Rockcliffe-Smythe,Auto Theft,37
Rockcliffe-Smythe,Break and Enter,37
Rockcliffe-Smythe,Robbery,61
Rockcliffe-Smythe,Theft Over,3
Rockcliffe-Smythe,bicycle theft,9
Roncesvalles,Assault,107
Roncesvalles,Auto Theft,14
Roncesvalles,Break and Enter,37
Roncesvalles,Robbery,26
Roncesvalles,Theft Over,3
Roncesvalles,bicycle theft,26
Rosedale-Moore Park,Assault,96
Rosedale-Moore Park,Auto Theft,12
Rosedale-Moore Park,Break and Enter,58
Rosedale-Moore Park,Robbery,18
